"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Democratic People's Republic of Korea"," Data source"," Spirits","","3.26","3.26","3.26","3.52","3.24","2.96"
"Democratic People's Republic of Korea"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Democratic Republic of the Congo"," Data source"," All types","","1.39","1.58","1.62","1.72","1.65","1.67"
"Democratic Republic of the Congo"," Data source"," Beer","","0.54","0.73","0.77","0.68","0.66","0.59"
"Democratic Republic of the Congo"," Data source"," Wine","","0.01","0.01","0.01","0.20","0.15","0.23"
"Democratic Republic of the Congo"," Data source"," Spirits","","0.01","0.01","0.01","0.01","0.01","0.04"
"Democratic Republic of the Congo"," Data source"," Other alcoholic beverages","","0.83","0.83","0.83","0.83","0.83","0.81"
"Denmark"," Data source"," All types","9.55","9.38","9.53","9.43","9.10","10.22","10.24"
"Denmark"," Data source"," Beer","3.57","3.49","3.62","3.51","3.52","3.77","3.90"
"Denmark"," Data source"," Wine","4.27","4.21","4.34","4.35","4.13","4.99","4.88"
"Denmark"," Data source"," Spirits","1.63","1.68","1.57","1.57","1.46","1.46","1.46"
"Denmark"," Data source"," Other alcoholic beverages","0.08","0","0","0","0","0","0"
"Djibouti"," Data source"," All types","0.36","0.37","0.34","0.52","0.47","0.51","0.50"
"Djibouti"," Data source"," Beer","0.10","0.10","0.08","0.11","0.12","0.20","0.21"
"Djibouti"," Data source"," Wine","0.06","0.06","0.03","0.17","0.12","0.08","0.05"
"Djibouti"," Data source"," Spirits","0.20","0.20","0.23","0.23","0.22","0.22","0.23"
"Djibouti"," Data source"," Other alcoholic beverages","0","0","0","0.01","0.01","0.01","0.01"
"Dominica"," Data source"," All types","","","","8.41","8.48","5.46","7.45"
"Dominica"," Data source"," Beer","","","","0.93","0.94","0.11","0.48"
"Dominica"," Data source"," Wine","","","","0","0","0.48","0.74"
"Dominica"," Data source"," Spirits","","","","7.47","7.54","4.79","6.16"
"Dominica"," Data source"," Other alcoholic beverages","","","","0","0","0.09","0.08"
"Dominican Republic"," Data source"," All types","5.50","6.14","6.02","6.03","6.02","6.01","6.12"
"Dominican Republic"," Data source"," Beer","2.87","3.49","3.41","3.33","3.29","3.25","3.27"
"Dominican Republic"," Data source"," Wine","0.24","0.24","0.22","0.20","0.19","0.18","0.16"
