"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Chad"," Data source"," All types","0.50","0.49","0.45","0.44","0.43","0.35","0.43","0.36","0.31","0.26"
"Chad"," Data source"," Beer","0.30","0.29","0.26","0.23","0.24","0.23","0.24","0.22","0.18","0.17"
"Chad"," Data source"," Wine","0.02","0.02","0.01","0","0","0.01","0","0","0","0"
"Chad"," Data source"," Spirits","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0","0"
"Chad"," Data source"," Other alcoholic beverages","0.16","0.16","0.16","0.19","0.16","0.08","0.15","0.11","0.12","0.09"
"Chile"," Data source"," All types","7.67","7.31","7.39","7.33","7.57","6.98","7.25","6.88","6.94","7.09"
"Chile"," Data source"," Beer","2.32","2.43","2.34","2.26","2.01","1.84","1.81","1.76","1.79","1.80"
"Chile"," Data source"," Wine","2.85","2.17","2.83","2.22","2.59","3.36","3.46","3.20","3.22","3.32"
"Chile"," Data source"," Spirits","2.50","2.71","2.22","2.85","2.97","1.60","1.97","1.91","1.92","1.98"
"Chile"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.19","0.01","0.01","0.01","0"
"China"," Data source"," All types","4.88","4.27","3.88","3.28","2.92","3.05","2.98","2.98","2.91","3.11"
"China"," Data source"," Beer","1.59","1.50","1.43","1.30","1.18","1.12","1.02","0.98","0.94","0.94"
"China"," Data source"," Wine","0.10","0.08","0.08","0.06","0.05","0.18","0.18","0.19","0.19","0.18"
"China"," Data source"," Spirits","3.25","2.64","2.31","1.88","1.67","1.75","1.78","1.81","1.78","1.99"
"China"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Colombia"," Data source"," All types","4.26","4.36","4.56","4.44","4.27","4.16","4.15","4.33","4.30","4.52"
"Colombia"," Data source"," Beer","2.88","2.99","3.10","2.95","2.76","2.58","2.58","2.65","2.52","2.80"
"Colombia"," Data source"," Wine","0.07","0.07","0.07","0.07","0.05","0.05","0.05","0.05","0.03","0.04"
"Colombia"," Data source"," Spirits","1.30","1.29","1.37","1.41","1.43","1.50","1.50","1.60","1.71","1.65"
"Colombia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.03","0.02","0.03","0.03","0.03"
"Comoros"," Data source"," All types","0.17","0.12","0.16","0.25","0.24","0.35","0.33","0.10","0.11","0.11"
"Comoros"," Data source"," Beer","0.04","0.04","0.05","0.13","0.15","0.17","0.15","0.02","0.02","0.03"
"Comoros"," Data source"," Wine","0.02","0.02","0.04","0.02","0.02","0.07","0.06","0.03","0.03","0.04"
"Comoros"," Data source"," Spirits","0.10","0.06","0.07","0.09","0.06","0.11","0.12","0.05","0.05","0.04"
"Comoros"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Congo"," Data source"," All types","3.50","3.25","3.13","2.84","2.42","2.57","2.44","2.56","2.23","2.13"
"Congo"," Data source"," Beer","3.09","2.79","2.62","2.24","1.83","1.70","1.71","1.75","1.47","1.47"
"Congo"," Data source"," Wine","0.01","0.01","0.18","0.21","0.18","0.33","0.21","0.28","0.30","0.23"
"Congo"," Data source"," Spirits","0.39","0.43","0.31","0.38","0.41","0.54","0.52","0.53","0.46","0.43"
"Congo"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.01","0","0","0","0","0","0"
"Cook Islands"," Data source"," All types","9.89","9.18","9.59","7.32","7.90","8.27","8.71","1.29","2.69","4.20"
"Cook Islands"," Data source"," Beer","3.10","2.40","2.99","2.70","2.81","3.14","2.53","0.57","1.27","0.48"
"Cook Islands"," Data source"," Wine","2.30","2.29","2.91","2.02","2.60","2.41","2.27","0.39","1.00","2.03"
"Cook Islands"," Data source"," Spirits","4.48","4.49","3.69","2.60","2.49","2.71","3.91","0.34","0.41","1.69"
"Cook Islands"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Costa Rica"," Data source"," All types","4.15","4.30","4.26","4.20","4.14","4.12","4.05","4.17","4.26","4.31"
"Costa Rica"," Data source"," Beer","2.48","2.50","2.44","2.35","2.30","2.24","2.25","2.23","2.24","2.25"
"Costa Rica"," Data source"," Wine","0.18","0.20","0.20","0.17","0.17","0.14","0.13","0.12","0.13","0.18"
"Costa Rica"," Data source"," Spirits","1.45","1.55","1.58","1.64","1.63","1.70","1.67","1.81","1.90","1.87"
"Costa Rica"," Data source"," Other alcoholic beverages","0.04","0.04","0.05","0.04","0.04","0.04","0","0","0","0"
"Côte d'Ivoire"," Data source"," All types","4.24","4.18","3.69","3.88","4.69","4.48","4.69","4.59","4.69","4.67"
"Côte d'Ivoire"," Data source"," Beer","0.62","0.64","0.66","0.61","0.66","0.62","0.63","0.51","0.54","0.57"
"Côte d'Ivoire"," Data source"," Wine","0.25","0.12","0.15","0.21","0.24","0.34","0.34","0.35","0.29","0.26"
"Côte d'Ivoire"," Data source"," Spirits","0.02","0.02","0.01","0.02","0.05","0.04","0.04","0.04","0.04","0.04"
"Côte d'Ivoire"," Data source"," Other alcoholic beverages","3.35","3.40","2.88","3.04","3.74","3.48","3.67","3.69","3.82","3.80"
"Croatia"," Data source"," All types","12.07","12.30","12.28","11.84","11.58","13.12","13.80","14.83","14.56","14.06"
